,Date,rain,wind,cloud
0,2021-03-04,0.0,5.0,36.0
1,2021-03-05,0.0,5.0,15.0
2,2021-03-06,0.0,10.0,27.0
3,2021-03-07,0.1,20.0,73.0
4,2021-03-08,0.0,15.0,13.0
5,2021-03-09,0.0,15.0,2.0
6,2021-03-10,0.0,5.0,2.0
7,2021-03-11,0.1,2.0,29.0
8,2021-03-12,0.0,2.0,43.0
9,2021-03-13,0.0,15.0,27.0
10,2021-03-14,0.0,30.0,3.0
11,2021-03-15,0.0,35.0,3.0
12,2021-03-16,0.0,17.0,3.0
13,2021-03-17,0.0,35.0,43.0
14,2021-03-18,0.0,18.0,11.0
15,2021-03-19,0.0,30.0,61.0
16,2021-03-20,0.0,17.0,3.0
17,2021-03-21,0.0,14.0,3.0
18,2021-03-22,0.0,21.0,6.0
19,2021-03-23,0.0,20.0,2.0
20,2021-03-24,0.0,7.0,2.0
21,2021-03-25,0.0,7.0,11.0
22,2021-03-26,0.0,5.0,59.0
23,2021-03-27,0.0,5.0,7.0
24,2021-03-28,0.0,5.0,5.0
25,2021-03-29,0.0,5.0,6.0
